img/earthbackground.png
,0,488,252,25,16,18,3,57,38,
,0,1413,254,73,71,74,72,58,50,
,0,966,668,14,10,11,12,7,9,
,1,436,303,129,27,8,
,1,437,331,130,27,9,
,1,438,324,129,18,9,
,1,948,715,74,20,8,
,1,949,735,73,32,9,
,1,1378,303,89,24,8,
,1,1378,328,94,55,9,
,1,1380,325,88,15,9,
,1,1,951,1918,128,-1,
,1,-240,828,238,251,-1,
,1,-350,553,224,278,-1,
,1,-342,250,45,304,-1,
,1,-321,45,14,205,-1,
,1,1920,391,677,688,-1,
,1,1912,273,683,119,9,
,1,1768,189,829,87,8,
,1,1769,220,828,60,9,
,1,1645,682,274,269,-1,
,1,1462,811,180,143,-1,
,1,1409,879,53,77,-1,
